old_sector,new_sector,new_sector_fix_capitalisation,sector_team,disable
Advanced Engineering,Advanced Engineering,Advanced engineering,Advanced manufacturing sector team,
Aerospace,Aerospace,Aerospace,Aerospace sector team,
"Agriculture, Horticulture and Fisheries","Agriculture, horticulture, fisheries and pets","Agriculture, horticulture, fisheries and pets",Bio-economy sector team,
Airports,Airports,Airports,Infrastructure sector team,
Automotive,Automotive,Automotive,Automotive sector team,
Biotechnology and Pharmaceuticals,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,Life sciences sector team,
Business (and Consumer) Services,Financial and Professional Services : Business and consumer services,Financial and professional services : Business and consumer services,Financial & professional services sector team,
Chemicals,Chemicals,Chemicals,Bio-economy sector team,
"Clothing, Footwear and Fashion","Consumer and retail : Clothing, Footwear and Fashion","Consumer and retail : Clothing, footwear and fashion","Creative, consumer & sports sector team",
Communications,Technology and smart cities : Communications,Technology and smart cities : Communications,Technology sector team,
Construction,Construction,Construction,Infrastructure sector team,
Creative and Media,Creative industries,Creative industries,"Creative, consumer & sports sector team",
Defence,Defence,Defence,Defence & security sector team,
Defence and Security,Defence,Defence,Defence & security sector team,
Education and Training,Education and Training,Education and training,Education sector team,
Electronics and IT Hardware,Technology and smart cities : Hardware,Technology and smart cities : Hardware,Technology sector team,
Energy,Energy,Energy,Energy sector team,
Environment,Environment,Environment,Energy sector team,
Food and Drink,Food and Drink,Food and drink,Food & drink sector team,
"Giftware, Jewellery and Tableware",Consumer and retail : Jewellery,Consumer and retail : Jewellery,"Creative, consumer & sports sector team",
Global Sports Projects,Sports economy,Sports economy,"Creative, consumer & sports sector team",
Healthcare and Medical,Healthcare services,Healthcare services,Healthcare sector team,
"Household Goods, Furniture and Furnishings",Consumer and retail : Household Goods,Consumer and retail : Household goods,"Creative, consumer & sports sector team",
ICT,Technology and smart cities : Communications,Technology and smart cities : Communications,Technology sector team,
Leisure and Tourism,Consumer and retail : Leisure and Tourism,Consumer and retail : Leisure and tourism,"Creative, consumer & sports sector team",
Marine,Maritime,Maritime,Advanced manufacturing sector team,
Mass Transport,Airports,Airports,Infrastructure sector team,
Mechanical Electrical and Process Engineering,"Advanced engineering : Mechanical, Electrical and Process Engineering","Advanced engineering : Mechanical, electrical and process engineering",Advanced manufacturing sector team,
Metallurgical Process Plant,Advanced engineering : Metallurgical Process Plant,Advanced engineering : Metallurgical process plant,Advanced manufacturing sector team,
"Metals, Minerals and Materials","Advanced engineering : Metals, minerals and materials","Advanced engineering : Metals, minerals and materials",Advanced manufacturing sector team,
Mining,Mining,Mining,Infrastructure sector team,
Oil and Gas,Energy : Oil and Gas,Energy : Oil and gas,Energy sector team,
