id,disabled_on,segment,level,lft,parent_id,rght,tree_id,sector_cluster_id
e158dbb4-c855-487e-9ac2-f00e2592873f,,Technology,1,46,a338cecc-5f95-e211-a939-e4115bead28a,47,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
9938cecc-5f95-e211-a939-e4115bead28a,,Biotechnology and Pharmaceuticals,0,1,,44,6,0804745e-80b6-4bd1-8101-30e7a431623e
9a38cecc-5f95-e211-a939-e4115bead28a,,Business (and Consumer) Services,0,1,,14,7,7be7a38f-1a77-44bf-abee-3049ba50a6a8
9b38cecc-5f95-e211-a939-e4115bead28a,,Chemicals,0,1,,14,8,0804745e-80b6-4bd1-8101-30e7a431623e
9c38cecc-5f95-e211-a939-e4115bead28a,,"Clothing, Footwear and Fashion",0,1,,8,9,ed3671b5-d194-4ee3-9bbf-a04773711dd9
9e38cecc-5f95-e211-a939-e4115bead28a,,Construction,0,1,,2,11,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
7dbb9fc6-5f95-e211-a939-e4115bead28a,,Defence,0,1,,2,13,7cdae131-6fc4-4c4c-a977-07f5be64a1c4
b0959812-6095-e211-a939-e4115bead28a,,Defence and Security,0,1,,2,14,7cdae131-6fc4-4c4c-a977-07f5be64a1c4
a038cecc-5f95-e211-a939-e4115bead28a,,Education and Training,0,1,,2,15,ed3671b5-d194-4ee3-9bbf-a04773711dd9
a138cecc-5f95-e211-a939-e4115bead28a,,Electronics and IT Hardware,0,1,,18,16,531d3510-3f42-41fd-86b5-fa686fdfe33f
a338cecc-5f95-e211-a939-e4115bead28a,,Financial Services (including Professional Services),0,1,,48,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
ac22c9d2-5f95-e211-a939-e4115bead28a,,Global Sports Projects,0,1,,4,23,ed3671b5-d194-4ee3-9bbf-a04773711dd9
a738cecc-5f95-e211-a939-e4115bead28a,,Healthcare and Medical,0,1,,38,24,0804745e-80b6-4bd1-8101-30e7a431623e
a838cecc-5f95-e211-a939-e4115bead28a,,"Household Goods, Furniture and Furnishings",0,1,,2,25,ed3671b5-d194-4ee3-9bbf-a04773711dd9
b3959812-6095-e211-a939-e4115bead28a,,ICT,0,1,,2,26,531d3510-3f42-41fd-86b5-fa686fdfe33f
